31,96,#start,8421504
82,28,#start,8421504
218,28,#start,8421504
273,103,#start,8421504
257,235,#start,8421504
56,133,#stop,8421504
72,93,#start,8421504
49,104,#start,8421504
41,91,#start,8421504
65,61,#start,8421504
90,63,#start,8421504
103,95,#start,8421504
84,121,#start,8421504
105,121,#start,8421504
122,125,#start,8421504
114,97,#start,8421504
125,69,#start,8421504
146,84,#start,8421504
151,109,#start,8421504
139,98,#start,8421504
128,102,#start,8421504
133,118,#start,8421504
133,133,#start,8421504
129,145,#start,8421504
124,160,#start,8421504
110,164,#start,8421504
115,174,#start,8421504
120,185,#start,8421504
108,194,#start,8421504
96,203,#start,8421504
87,200,#start,8421504
90,189,#start,8421504
98,184,#start,8421504
103,177,#start,8421504
94,172,#start,8421504
91,171,#start,8421504
85,156,#start,8421504
85,148,#start,8421504
66,202,#start,8421504
57,203,#start,8421504
53,198,#start,8421504
66,145,#start,8421504
56,133,#start,8421504
190,117,#stop,8421504
187,148,#start,8421504
228,149,#start,8421504
225,113,#start,8421504
246,102,#start,8421504
233,62,#start,8421504
186,58,#start,8421504
166,93,#start,8421504
192,118,#start,8421504
192,96,#stop,8421504
208,96,#start,8421504
207,72,#start,8421504
193,72,#start,8421504
192,97,#start,8421504
216,68,#stop,8421504
219,95,#start,8421504
231,94,#start,8421504
226,70,#start,8421504
215,69,#start,8421504
30,245,#stop,32768
41,215,#start,32768
67,239,#start,32768
80,223,#start,32768
88,240,#start,32768
97,224,#start,32768
106,241,#start,32768
118,226,#start,32768
122,240,#start,32768
138,228,#start,32768
142,242,#start,32768
156,228,#start,32768
163,245,#start,32768
177,228,#start,32768
182,244,#start,32768
192,223,#start,32768
197,245,#start,32768
205,226,#start,32768
208,245,#start,32768
221,225,#start,32768
230,243,#start,32768
236,229,#start,32768
240,243,#start,32768
246,227,#start,32768
254,242,#start,32768
257,226,#start,32768
270,249,#start,32768
30,245,#start,32768
35,243,#area,32768
33,240,#start,32768
31,96,#start,8421504
82,28,#start,8421504
218,28,#start,8421504
273,103,#start,8421504
257,235,#start,8421504
56,133,#stop,8421504
72,93,#start,8421504
49,104,#start,8421504
41,91,#start,8421504
65,61,#start,8421504
90,63,#start,8421504
103,95,#start,8421504
84,121,#start,8421504
105,121,#start,8421504
122,125,#start,8421504
114,97,#start,8421504
125,69,#start,8421504
146,84,#start,8421504
151,109,#start,8421504
139,98,#start,8421504
128,102,#start,8421504
133,118,#start,8421504
133,133,#start,8421504
129,145,#start,8421504
124,160,#start,8421504
110,164,#start,8421504
115,174,#start,8421504
120,185,#start,8421504
108,194,#start,8421504
96,203,#start,8421504
87,200,#start,8421504
90,189,#start,8421504
98,184,#start,8421504
103,177,#start,8421504
94,172,#start,8421504
91,171,#start,8421504
85,156,#start,8421504
85,148,#start,8421504
66,202,#start,8421504
57,203,#start,8421504
53,198,#start,8421504
66,145,#start,8421504
56,133,#start,8421504
190,117,#stop,8421504
187,148,#start,8421504
228,149,#start,8421504
225,113,#start,8421504
246,102,#start,8421504
233,62,#start,8421504
186,58,#start,8421504
166,93,#start,8421504
192,118,#start,8421504
192,96,#stop,8421504
208,96,#start,8421504
207,72,#start,8421504
193,72,#start,8421504
192,97,#start,8421504
216,68,#stop,8421504
219,95,#start,8421504
231,94,#start,8421504
226,70,#start,8421504
215,69,#start,8421504
144,202,#area,8421504
198,91,#area,8421504
223,89,#area,8421504
